index,id,research_title,initiation_date,status,has_result,locations,organization
10,NCT04834726,"Pragmatic Trial of COVID Vaccine Text Outreach Interventions",2021-04-29,COMPLETED,1,"United States","University of Pennsylvania"
11,NCT05313074,"SARS-CoV-2 Specific Immune Response After COVID-19 Vaccination in Cancer Patients",2021-03-23,COMPLETED,0,Thailand,"National Cancer Institute, Thailand"
12,NCT05030974,"Optimal Repeated Dose Strategy for SARS-CoV-2 Vaccination in Kidney Transplant Patients A Prospective, Randomized Multicenter Study by the REnal Patients COVID-19 VACcination (RECOVAC) Consortium",2021-10-21,COMPLETED,0,Netherlands,"University Medical Center Groningen"
13,NCT05534048,"A Phase III Study to Evaluate the Safety and Immunogenicity of PTX-COVID19-B Administered as Booster Vaccination in Previously Vaccinated Adults Aged 18 Years and Older",2023-02-03,NOTYETRECRUITING,0,"","Everest Medicines (Singapore) Pte. Ltd."
14,NCT05445531,"Low-field Magnetic Resonance Imaging to Assess Changes in Pulmonary Function Parameters in Confirmed Pediatric SARS-CoV-2 Infection",2022-07-08,RECRUITING,0,Germany,"University of Erlangen-Nürnberg Medical School"
15,NCT05057182,"mRNA Vaccination to Boost Antibodies Against SARS-CoV-2 in Recipients of Inactivated Vaccines (the ""mBoost"" Study)",2021-10-18,ACTIVENOTRECRUITING,0,"Hong Kong","The University of Hong Kong"
16,NCT04880174,"SARS-COV-2 Seroprevalence and Seroconversion Among Employees of the Universitair Ziekenhuis Brussel Following mRNA COVID-19 Vaccination",2021-03-22,ACTIVENOTRECRUITING,0,Belgium,"Universitair Ziekenhuis Brussel"
17,NCT04918940,"Post-vaccination Immunization Against SARS-CoV-2 in Patients Undergoing Maintenance With Anti-CD20 Antibodies for Follicular Lymphoma (FL) or Mantle Cell",2021-05-21,COMPLETED,0,France,"Centre Henri Becquerel"
18,NCT05142540,"Detection and Characterization of Anti-SARS-CoV-2 Salivary Antibodies After COVID-19 Booster Vaccines - The CoVVacBoost Study",2021-12-01,TERMINATED,0,Austria,"Medical University of Graz"
19,NCT04792567,"An Open-label Multicenter Study to Assess Response to SARS-CoV-2 modRNA Vaccines in Participants With Secondary Progressive Multiple Sclerosis Treated With Mayzent (Siponimod)",2021-04-19,COMPLETED,1,Germany,Novartis
20,NCT04891172,"Phase II/III Clinical Trial Study to Evaluate Efficacy and Safety of Anti COVID 19 Intravenous Immunoglobulin (C-IVIG) Therapy for Severe COVID-19 Patients",2021-08-01,RECRUITING,0,Pakistan,"Dow University of Health Sciences"
21,NCT04760704,"Evaluation of the Immunogenicity of mRNA BNT162b2 (COMIRNATY®) Vaccine in Elderly Subjects by Monitoring the Specific Cellular and Humoral Response.",2021-02-19,UNKNOWN,0,France,"University Hospital, Lille"
22,NCT04853004,"Studies of Ongoing and Completed SARS-CoV-2 Infection (Which Causes COVID-19) Within the Healthcare in Stockholm County, With Regard to Vaccinations.",2021-04-01,ACTIVENOTRECRUITING,0,Sweden,"Karolinska Institutet"
23,NCT05311904,"Observatory of the Efficacy and Safety of Vaccination Against SARS-CoV-2 in Neuromuscular Patients",2021-03-11,COMPLETED,0,France,"University Hospital, Bordeaux"
24,NCT04839146,"First-in-human Trial of the Coronavirus Virus-like Particle Subunit Vaccine ABNCoV2 in SARS-CoV-2-naïve Adult Volunteers in Good Health",2021-03-11,COMPLETED,1,Netherlands,"Radboud University Medical Center"
25,NCT06113692,"Clinical Course, Outcomes and Risk Factors of Myocarditis and Pericarditis Following Administration of mRNA- 1273 (ELASOMERAN)",2023-03-31,ACTIVENOTRECRUITING,0,"Spain,United Kingdom,Denmark,Norway","ModernaTX, Inc."
26,NCT06181292,"Phase IIb/III, Double-Blind, Randomised, Active-Controlled, Multi-Center, Non-Inferiority Clinical Trial, to Assess the Safety and Immunogenicity of a Booster Vaccination With an Adapted Recombinant Protein RBD Fusion Homodimer Candidate Against SARS-CoV-2, in Adults Vaccinated Against COVID-19",2023-11-15,ACTIVENOTRECRUITING,0,Spain,"Hipra Scientific, S.L.U"
27,NCT04566276,"A Phase 1/2, Dose-finding Study to Evaluate Safety, Tolerability, and Immunogenicity of the ChulaCov19 Vaccine in Healthy Adults",2021-05-03,COMPLETED,0,Thailand,"Chulalongkorn University"
28,NCT04894227,"A Double-blind, Randomized Clinical Trial to Evaluate the Lot-to-lot Consistency, Immunogenicity and Safety of an Inactivated SARS-CoV-2 Vaccine (CoronaVac） in Health Adults Aged 26-45 Years",2021-05-11,COMPLETED,0,China,"Sinovac Biotech Co., Ltd"
29,NCT04436276,"A Randomized, Double-blind, Placebo-controlled Phase 1/2a Study to Evaluate the Safety, Reactogenicity, and Immunogenicity of Ad26COVS1 in Adults Aged 18 to 55 Years Inclusive and Adults Aged 65 Years and Older",2020-07-15,COMPLETED,1,"United States,Belgium","Janssen Vaccines & Prevention B.V."
30,NCT04993560,"Comparing the Safety and Efficacy of Homologous and Heterologous COVID-19 Prime-boost Vaccination in Bahrain",2021-07-18,COMPLETED,0,Bahrain,"Royal College of Surgeons in Ireland - Medical University of Bahrain"
31,NCT04854876,"An Open-Label, Pilot Study to Evaluate the Safety, Tolerability, and Efficacy of 5-ALA-Phosphate + SFC as an Immune System Enhancer Along With Vaccination Against SARS-CoV-2 Virus Infection",2021-08-15,WITHDRAWN,0,"","Royal College of Surgeons in Ireland - Medical University of Bahrain"
32,NCT05076227,"Comparison of Different BNT162b2 and ChAdOx1-S COVID-19 Vaccination Intervals and Combinations on Reactogenicity and Humoral Immunogenicity in Adults",2021-01-30,COMPLETED,0,Germany,"University of Witten/Herdecke"
33,NCT05077176,"Open Label, Multi-Center Phase 3 Clinical Trial to Determine Safety, Efficacy, and Immunogenicity of Booster Vaccination Against SARS-CoV-2",2021-10-08,COMPLETED,0,Turkey,"Health Institutes of Turkey"
34,NCT05032976,"A Prospective, Single-arm, Open-label, Non-interventional, Multicenter to Assess the Safety of BNT162b2 in Domestic Post-marketing Surveillance",2022-03-18,ACTIVENOTRECRUITING,0,"Korea, Republic of",Pfizer
35,NCT05305573,"A Phase IIb, Double-Blind, Randomized, Active Controlled, Multi-center, Non-inferiority Trial to Assess Immunogenicity and Safety of a Booster Vaccination With a Recombinant Protein RBD Fusion Dimer Candidate (PHH-1V) Against SARS-CoV-2, in Adults Fully Vaccinated With Adenovirus Vaccine Against COVID-19",2022-03-25,COMPLETED,0,Spain,"Hipra Scientific, S.L.U"
36,NCT04961229,"Booster Dose of mRNA SARS-CoV-2 Vaccine for Kidney Transplant Recipients Without Adequate Humoral Response With or Without Immunosuppression Reduction - Protocol for a Randomised Controlled Trial (BECAME Study)",2021-10,UNKNOWN,0,"","Rabin Medical Center"
37,NCT04768244,"Impact of Maternal SARS-CoV-2 Infection and Vaccination on Breast Milk Antibodies, Milk Bioactive Compounds and Maternal-child Health (MilkCORONA)",2020-04-01,COMPLETED,0,Spain,"Institute of Agrochemistry and Food Technology, National Research Council"
38,NCT05153044,"Severe Acute Respiratory Syndrome CoV 2 Seroprevalence Survey and Vaccination Coverage in the Sickle Cell Population in Ile-De-France",2021-12-30,UNKNOWN,0,"","Assistance Publique - Hôpitaux de Paris"
39,NCT04922944,"Post Vaccination Antibody Assays and Reactions in Hospital Employees and Medical Staff: An Analysis of Antibody Response Over Time",2021-03-08,COMPLETED,0,"United States","Huntington Memorial Hospital"
40,NCT04848467,"COVID-19: A Phase 3, Randomized, Observer-blinded, Multicenter Clinical Study Evaluating the Immunogenicity, Safety, and Reactogenicity of the Investigational SARS-CoV-2 mRNA Vaccine CVnCoV, When Co-administered With a Licensed Quadrivalent Influenza Vaccine Versus Separate Administration of the Two Vaccines in Adults 60 Years of Age and Older",2021-10-01,WITHDRAWN,0,"",Bayer
41,NCT04414267,"A Randomized Clinical Trial for Enhanced Trained Immune Responses Through Bacillus Calmette-Guérin Vaccination to Prevent Infections by COVID-19: The ACTIVATE II Trial",2020-05-26,COMPLETED,0,Greece,"Hellenic Institute for the Study of Sepsis"
42,NCT05552573,"A Randomized, Blinded, Positive-controlled Phase I Clinical Trial to Evaluate the Safety and Immunogenicity of Recombinant SARS-CoV-2 Vaccine (CHO Cell) LYB001 in Population Aged 18 Years and Above",2022-07-19,ACTIVENOTRECRUITING,0,China,"Guangzhou Patronus Biotech Co., Ltd."
43,NCT04894682,"Safety and Long-term Effects of COVID-19 Vaccines in Patients With Lung Cancer or Indeterminate Pulmonary Nodule--A Real World Study",2021-05-04,WITHDRAWN,0,China,"Guangdong Provincial People's Hospital"
44,NCT06429020,"Sonography for COVID-19 Vaccines Related Reactive Lymphadenopathy: A Retrospective Study",2023-01-01,COMPLETED,0,Taiwan,"Chimei Medical Center"
45,NCT04852276,"Analysis of the Immune Response to COVID-19 Vaccination and Outcomes in Individuals With and Without Immune Deficiencies and Dysregulations",2021-04-20,COMPLETED,0,"United States","National Institutes of Health Clinical Center (CC)"
46,NCT05435027,"A Phase 1 SARS-CoV-2 Vaccine Study to Assess the Safety and Tolerability of GRT-R912, GRT-R914, and GRT-R918 Administered as Prime and/or Boost in Healthy Adult Participants and People Living With HIV",2022-02-28,COMPLETED,0,"South Africa","Gritstone bio, Inc."
47,NCT06452082,"Retrospective Observational Study on the Risk in Developing Long-COVID Syndrome After Acute COVID-19 Disease and in Contracting SARS-CoV-2 Infection After COVID-19 Vaccination in Relation to Vitamin D3 Supplementation in Outpatients of Endocrinology Department",2024-03-20,ACTIVENOTRECRUITING,0,Italy,"IRCCS San Raffaele"
48,NCT04537130,"Phase Ib Controlled Exploratory Trial for Treatment of Fibrosing Interstitial Lung Disease Patients Secondary to SARS-CoV-2 Infection With IN01 Vaccine (COVINVAC)",2020-12-01,UNKNOWN,0,Spain,"Instituto Oncológico Dr Rosell"
49,NCT05925127,"A Phase 2/3, Randomized, Double-Blind Study to Evaluate the Safety and Immunogenicity of Different Booster Dose Levels of Monovalent SARS-CoV-2 rS Vaccines in Adults ≥ 50 Years Previously Vaccinated With COVID-19 mRNA Vaccines",2023-10-16,ACTIVENOTRECRUITING,0,"United States",Novavax
50,NCT05633927,"Prospective Study to Evaluate the Persistence and Characteristics of Humoral and Cellular Immunity Against SARS-COV-2 After Vaccination in HIV-infected Patients Severely Immunosuppressed",2021-04-01,ACTIVENOTRECRUITING,0,Spain,"Hospitales Universitarios Virgen del Rocío"
51,NCT05079165,"EVALUATION OF THE RESPONSE TO mRNA SARS-CoV-2 VACCINE IN A COHORT OF LIVER TRANSPLANTED OR LISTED PATIENTS",2021-06-01,UNKNOWN,0,France,"University Hospital, Strasbourg, France"
52,NCT05050474,"A Clinical Study to Evaluate the Immunogenicity and Safety of the Third Dose Booster Immunization of Recombinant SARS-CoV-2 Fusion Protein Vaccine (V-01) in Healthy Participants",2021-08-07,COMPLETED,0,China,"Livzon Pharmaceutical Group Inc."
53,NCT05293665,"A Phase 3 Multi-Center International, Randomized, Active-Controlled Platform Trial to Compare Homologous Boost of Authorized COVID-19 Vaccines and Heterologous Boost With UB-612 Vaccine",2022-03-16,ACTIVENOTRECRUITING,0,"Panama,United States,Philippines","Vaxxinity, Inc."
54,NCT04347694,"COVID-19 Serology in Nephrology Health Care Workers",2020-04-11,UNKNOWN,0,Austria,"Medical University of Vienna"
55,NCT05401825,"Antenatal COVID 19 VACCINATION and Pregnancy Outcomes",2022-02-18,RECRUITING,0,Egypt,"Ain Shams University"
56,NCT04754594,"A PHASE 2/3, PLACEBO-CONTROLLED, RANDOMIZED, OBSERVER-BLIND STUDY TO EVALUATE THE SAFETY, TOLERABILITY, AND IMMUNOGENICITY OF A SARS-COV-2 RNA VACCINE CANDIDATE (BNT162b2) AGAINST COVID-19 IN HEALTHY PREGNANT WOMEN 18 YEARS OF AGE AND OLDER",2021-02-16,COMPLETED,0,"Brazil,South Africa,United Kingdom,Spain,United States","BioNTech SE"
57,NCT06175494,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Clinical Study to Evaluate the Efficacy, Safety, and Immunogenicity of Booster Vaccination With Recombinant COVID-19 (XBB) Trimer Protein Vaccine (Sf9 Cell) for the Prevention of SARS-CoV-2 Infection in a Population of 18 Years of Age and Older.",2023-12-19,RECRUITING,0,China,"WestVac Biopharma Co., Ltd."
58,NCT05950776,"A Multi-center, Randomized Placebo-controlled Phase II Trial to Assess the Safety, Tolerability and Immunogenicity of Two Doses of the Candidate Vaccine MVA-SARS-2-S in Adults Aged 18 to 64 and 65 and Older",2021-01-15,WITHDRAWN,0,"","Universitätsklinikum Hamburg-Eppendorf"
59,NCT05011344,"Evolution of Protective Immunization Against SARS-CoV-2 Among Hospital Workers in Health Care Facilities",2020-07-15,UNKNOWN,0,France,"Assistance Publique Hopitaux De Marseille"
60,NCT04794829,"Natural History of Systemic and Nasal Mucosal Immunity to Influenza and SARS-CoV-2 in Adults After Vaccination",2021-08-19,RECRUITING,0,"United States","National Institutes of Health Clinical Center (CC)"
61,NCT05729191,"Evaluation of the Acceptance of the Anti-COVID-19 Vaccine Offer and of the Knowledge and Attitudes Towards the Vaccination Among Pregnant Women Through a Validation Study at the Fondazione Policlinico Universitario A IRCCS Twins (FPG).",2021-10-25,COMPLETED,0,Italy,"Fondazione Policlinico Universitario Agostino Gemelli IRCCS"
62,NCT05060991,"Impact of Immunosuppression Adjustment on the Immune Response to SARS-CoV-2 mRNA Vaccination in Kidney Transplant Recipients (ADIVKT)",2021-09-24,UNKNOWN,0,"United States","University of California, Davis"
63,NCT05433194,"A Phase I/II Clinical Study to Evaluate the Safety, Tolerability, and Immunogenicity of SARS-CoV-2 Variant (Omicron) mRNA Vaccine (ABO1009-DP) for Sequential Immunization in the Population Aged 18 Years and Older Who Have Completed the Full Vaccination",2022-08-22,ACTIVENOTRECRUITING,0,"United Arab Emirates","Suzhou Abogen Biosciences Co., Ltd."
64,NCT05315362,"Establishing Immunogenicity and Safety of Needle-free Intradermal Delivery by Solid Micro Needle Skin Patch of mRNA SARS-CoV-2 Vaccine as a Revaccination Strategy in Healthy Volunteers",2022-05-01,UNKNOWN,0,Netherlands,"Leiden University Medical Center"
65,NCT04924894,"Determinants of Obtaining COVID-19 Vaccination Among Health Care Workers Accessible to Free COVID-19 Vaccination: a Cross Sectional Study",2021-06-10,UNKNOWN,0,"","Assiut University"
66,NCT04954469,"B-pVAC-SARS-CoV-2: Phase I/II Multicenter Safety and Immunogenicity Trial of Multi-peptide Vaccination to Prevent COVID-19 Infection in Adults With Bcell/ Antibody Deficiency",2021-06-30,COMPLETED,0,Germany,"University Hospital Tuebingen"
67,NCT05074368,"Comparative Analysis of Neutralizing Antibody Response Among Heterologous ChAdOx1-nCov-19/mRNA-1273 Vaccination and Homologous ChAdOx1-nCov-19 or Homologous mRNA-1273 Vaccination",2021-07-06,COMPLETED,0,Taiwan,"National Taiwan University Hospital"
68,NCT04844489,"Study of the Humoral Response to SARS-CoV-2 Variants and of the Cellular Response After Vaccination Against COVID-19 in Immunocompromised People",2021-04-16,COMPLETED,0,France,"Assistance Publique - Hôpitaux de Paris"
69,NCT04869072,"A Phase i, Open-label, Single-centre Clinical Study to Evaluate Safety and Efficacy of Passive Immunization of High-risk SARS-CoV-2 Positive Patients With Convalescent Plasma Therapy",2020-04-29,COMPLETED,0,Switzerland,"University of Zurich"
70,NCT04900467,"Multicenter, Randomized, Open-label Trial Comparing the Immunological Efficacy of a Vaccine Regimen Combining Two Covid19 mRNA Vaccines (Pfizer-BioNTech and Moderna) With That of a Homologous Vaccination of Each Covid19 mRNA Vaccine: Non-inferiority Trial",2021-05-28,UNKNOWN,0,France,"Assistance Publique - Hôpitaux de Paris"
71,NCT05489367,"Does COVİD-19 m-RNA Vaccine Affect Fertility and Over Reserve ?",2022-02-01,COMPLETED,0,Turkey,"Gaziosmanpasa Research and Education Hospital"
72,NCT04582344,"Randomized, Double-Blind, Placebo-Controlled Phase III Clinical Trial For Evaluation of Efficacy and Safety of SARS-CoV-2 Vaccine (Vero Cell), Inactivated",2020-09-14,COMPLETED,0,Turkey,"Health Institutes of Turkey"
73,NCT04785144,"Phase 1, Open-Label, Randomized Study of the Safety and Immunogenicity of a SARS-CoV-2 Variant Vaccine (mRNA-1273.351) in Naïve and Previously Vaccinated Adults",2021-03-31,COMPLETED,1,"United States","National Institute of Allergy and Infectious Diseases (NIAID)"
74,NCT05977192,"Mobile Health-based Motivational Interviewing to Promote Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Vaccination in Oklahomans",2024-04-01,NOTYETRECRUITING,0,"United States","Oklahoma State University"
75,NCT04895189,"Yale COVID-19 Recovery Vaccine Study: Measuring Changes in Long Covid Symptoms After Vaccination",2021-05-03,ACTIVENOTRECRUITING,0,"United States","Yale University"
76,NCT05175989,"Real-world SARS-CoV-2 Antibody Response in Children Aged 5-11 Years Following BNT162b2 mRNA Vaccination Against COVID-19: a Prospective Cohort Study",2022-01-10,UNKNOWN,0,Israel,"Rabin Medical Center"
77,NCT04799392,"NOWDx Test for the Detection of Antibodies to COVID-19 in Lay Persons",2021-04-01,TERMINATED,0,"United States","NOWDiagnostics, Inc."
78,NCT05204589,"Heterologous Prime-boost Immunization With an Aerosolised Adenovirus Type-5 Vector-based COVID-19 Vaccine (Ad5-nCoV) After Two-dose Priming With an Inactivated SARS-CoV-2 Vaccine in Adults Aged 18 Years and Above: a Multicenter, Open-label, Partially Parallel-controlled Clinical Trial",2022-01-22,UNKNOWN,0,China,"Jiangsu Province Centers for Disease Control and Prevention"
79,NCT05022472,"Project 2VIDA! SARS-CoV-2 Vaccine Intervention Delivery for Adults in Southern California",2021-07-16,COMPLETED,0,"United States","University of California, San Diego"
80,NCT06333704,"A Multi-Centre, Prospective, Observational Post-Marketing Surveillance to Investigate the Long-Term Safety of SPIKEVAX BIVALENT and SPIKEVAX X Injection Under Routine Clinical Care in Korea",2023-03-10,RECRUITING,0,"Korea, Republic of","ModernaTX, Inc."
81,NCT04833101,"Safety and Immunogenicity of a Heterologous Immunization of Recombinant COVID-19 Vaccine (Ad5 Vector) and RBD-based Protein Subunit Vaccine Against COVID-19 in Chinese Healthy Population",2021-04-07,COMPLETED,0,China,"Jiangsu Province Centers for Disease Control and Prevention"
82,NCT06360744,"A Phase IV Vaccine Study Under the National Cohort Study of Effectiveness and Safety of SARS-CoV-2 (COVID-19) Vaccines (ENFORCE PLUS)",2021-07-05,COMPLETED,0,Denmark,"Rigshospitalet, Denmark"
83,NCT05222139,"""Multicenter Observational Study to Assess the Incidence and Features of COVID-19 and the Response to COVID-19 Vaccination in Fragile Patients""",2021-05-24,UNKNOWN,0,"Ireland,Argentina,Gabon,Netherlands,India,Italy,Luxembourg,Spain","University of Bologna"
84,NCT04642339,"Randomized, Double-blind, Placebo Controlled, Clinical Trial of the Immunogenicity, Safety, and Efficacy of the Gam-COVID-Vac Combined Vector Vaccine in Prophylactic Treatment for SARS-СoV-2 Infection",2020-11,UNKNOWN,0,"","Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation"
85,NCT04659239,"A Randomized, Double-Blinded, Placebo Controlled Phase III Clinical Trial of SARS-CoV-2 Vaccine, Inactivated (Vero Cell) in Adults Aged 18 Years and Above",2021-01-28,UNKNOWN,0,"Malaysia,Brazil",ChineseAMS
86,NCT05827939,"Association of Phenotypic Age and Antibody Titers Among SARS-Co-V2 Infected Patients and Vaccinated Groups",2022-06-01,RECRUITING,0,Taiwan,"Chang Gung Memorial Hospital"
87,NCT04761822,"Systemic Allergic Reactions to SARS-CoV-2 Vaccination",2021-04-07,COMPLETED,1,"United States","National Institute of Allergy and Infectious Diseases (NIAID)"
88,NCT04505722,"A Randomized, Double-blind, Placebo-controlled Phase 3 Study to Assess the Efficacy and Safety of Ad26.COV2.S for the Prevention of SARS-CoV-2-mediated COVID-19 in Adults Aged 18 Years and Older",2020-09-07,COMPLETED,1,"Argentina,Chile,Peru,Brazil,South Africa,Mexico,Colombia,United States","Janssen Vaccines & Prevention B.V."
89,NCT04878822,"Prospective, Cohort, Non-interventional, Single-center Clinical Study of Immune Response Status to SARS-CoV-2 / Covid-19 Vaccination in Patients With Haematological Malignancies.",2021-04-13,UNKNOWN,0,Italy,"Ospedale di Circolo - Fondazione Macchi"
90,NCT05083039,"Observational Program to Study the Preventive Efficacy of the BiVac Polio (Oral Polio Vaccine, Divalent, Live Attenuated of Types 1 and 3 ) Vaccine Against the Incidence of Acute Respiratory Infections, Including COVID-19, Produced by FSBSI ""Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products"", on Volunteers Aged 18-65",2020-05-14,COMPLETED,0,"Russian Federation","Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products"
91,NCT05197673,"Identifying Risks of Outbreaks in Work Settings and the Implications for Control Measures",2022-03-15,COMPLETED,0,"Hong Kong","Chinese University of Hong Kong"
92,NCT05787431,"Levels of Physical Activity After SARS-CoV-2 Infection in Greek Adults: the Role of Pre-illness Vaccination and the Number of Reinfections.",2023-02-07,RECRUITING,0,Greece,"National and Kapodistrian University of Athens"
93,NCT04907331,"Comparison of Heterologous Vaccination With an Vaxzevria (ChAdOx1-S) Prime and a Comirnaty (BNT162b2) Boost to Homolog Vaccination",2021-05-10,UNKNOWN,0,Austria,"Medical University Innsbruck"
94,NCT05164731,"Clinical Study of the Third Dose Immunization Schedule of COVID-19 Inactivated Vaccine, (Vero Cells) in Adults Aged 18 Years and Above After a Two-dose Schedule",2021-12-16,UNKNOWN,0,China,ChineseAMS
95,NCT05157230,"Evaluation of Deltoid Muscle Exercises on Injection Site and Arm Pain After Pfizer - BioNTech (BNT162b2) COVID - 19 Vaccination, A Randomized Controlled Study",2021-09-01,COMPLETED,0,Turkey,"Bursa Yüksek İhtisas Education and Research Hospital"
96,NCT05145348,"Prospective Monitoring of Antibody Response Following COVID-19 Vaccination in Patients With Down Syndrome",2021-02-03,UNKNOWN,0,Netherlands,"UMC Utrecht"
97,NCT04614948,"A Randomized, Double-blind, Placebo-controlled Phase 3 Study to Assess the Efficacy and Safety of Ad26.COV2.S for the Prevention of SARS-CoV-2-mediated COVID-19 in Adults Aged 18 Years and Older",2020-11-12,COMPLETED,0,"Philippines,Brazil,Germany,South Africa,United Kingdom,Colombia,France,United States,Belgium,Spain","Janssen Vaccines & Prevention B.V."
98,NCT05244330,"Effectiveness of COVID-19 Vaccines Against the SARS-COV-2 Delta (B.1.617.2) in China-A Real World Study",2021-12-15,COMPLETED,0,China,"First Affiliated Hospital Xi'an Jiaotong University"
99,NCT04747522,"SARS-CoV-2 Cellular and Humoral Immune Response Following Vaccination of Kidney Transplant Recipients and Healthy Controls",2021-01-22,ACTIVENOTRECRUITING,0,Norway,"Oslo University Hospital"
100,NCT05055531,"""Effects of the Vaccin Against COVID 19 in a Cohort of Dialysis Patients: Adverse Events and Immunological Response""",2021-08-08,UNKNOWN,0,France,"Raincy Montfermeil Hospital Group"
101,NCT05764174,"Digital Applications to Monitor Novel Coronavirus Disease and Response in Colombia - Syndromic and Vaccination Surveillance",2022-09-21,COMPLETED,0,"United States","Johns Hopkins Bloomberg School of Public Health"
102,NCT05873374,"A Phase 2 Study to Evaluate the Safety, Tolerability, Reactogenicity, and Immunogenicity of Baiya SARS-CoV-2 Vax 2 Vaccine as a Booster Following Vaccination for COVID-19 in Adults Between 18 and 64 Years",2023-12,NOTYETRECRUITING,0,Thailand,"Baiya Phytopharm Co., Ltd."
103,NCT05046548,"Double-blind, Placebo-controlled, Randomized Study of Tolerability, Safety and Immunogenicity of the Inactivated Whole-virion Concentrated Purified Coronavirus Vaccine, Produced by FSBSI ""Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products"", on Volunteers at the Age of 18-60 Years",2020-10-03,COMPLETED,0,"Russian Federation","Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products"
104,NCT05939648,"Randomized, Blinded, Positive and Placebo-controlled Phase II Clinical Trial to Evaluate the Immunogenicity and Safety of SARS-CoV-2 Bivalent mRNA Vaccine (LVRNA021) Booster Vaccination in People 18 Years of Age and Older Who Have Received SARS-CoV-2 Vaccine.",2023-10-09,ACTIVENOTRECRUITING,0,China,"AIM Vaccine Co., Ltd."
105,NCT05116748,"Safety and Immunogenicity of the SARS-CoV2 Vaccine in Solid Organ Transplantation (Lung and / or Liver) Adult Recipients",2021-10-01,COMPLETED,0,Italy,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico"
106,NCT05618548,"Vaccination Against COVID-19 in Pregnant and Lactating Women in Belgium: a Non-commercial Multicenter Academic Prospective Cohort Study in Pregnant and Lactating Women",2021-03-01,ACTIVENOTRECRUITING,0,Belgium,"Universiteit Antwerpen"
107,NCT04864548,"A Dose Finding Human Experimental Infection Study With SARS-CoV-2 in Healthy Volunteers With Immunologically Sensitised With Either Previous, SARS-CoV-2 Infection and/or Vaccination Against SARS-CoV2",2021-05-27,RECRUITING,0,"United Kingdom","University of Oxford"
108,NCT05212948,"A Phase 3, Randomized, Observer-Blind, Placebo- Controlled Cross-over Study to Evaluate the Efficacy, Safety, and Immunogenicity of S-268019 for the Prevention of COVID-19",2021-12-25,COMPLETED,0,Vietnam,"Shionogi Inc."
109,NCT05009030,"Observational Study on the Effectiveness and Safety of Vaccination Anti-SARS-CoV2 in Patients With Lung Cancer",2021-05-06,COMPLETED,0,Spain,"Fundación GECP"
